Data,IdSensore,Valore,IdOperatore,Idstazione,Quota,Utm_Nord,UTM_Est,lat,lng,Anno
1990-01-01,6436.219143576826,332.3851385390428,1.0,553.4005037783376,147.70528967254407,5039393.234256927,534705.4634760706,45.50612253184591,9.444209086498978,1990
1990-01-02,6313.94701986755,291.0850993377483,1.0,523.5960264900663,170.1887417218543,5042896.069536424,521281.87086092716,45.53902308804509,9.272892065306214,1990
1990-01-03,6470.9425675675675,112.30945945945946,1.0,565.3445945945946,171.125,5041876.608108108,543602.8378378379,45.527802090299915,9.558298474540027,1990
1990-01-04,6449.181571815719,203.05826558265582,1.0,559.3956639566395,179.710027100271,5043750.921409214,540253.9322493225,45.544974950896304,9.515566630405626,1990
1990-01-05,6401.200992555831,112.66873449131513,1.0,550.5012406947891,181.66749379652606,5044616.220843673,533069.7444168734,45.55329937359316,9.423934912889864,1990
1990-01-06,6397.423423423424,136.4427927927928,1.0,546.1171171171171,165.42342342342343,5041688.916666667,530870.6936936937,45.527050506359636,9.395224832945582,1990
1990-01-07,6440.192214111922,66.35182481751825,1.0,551.8248175182482,150.05109489051094,5040824.625304136,536428.1703163018,45.51896908860165,9.466299971363684,1990
1990-01-08,6415.901709401709,121.63846153846154,1.0,551.4294871794872,172.27136752136752,5042600.852564103,531716.2628205129,45.53508139696414,9.406214041182768,1990
1990-01-09,6413.967145790554,98.66611909650925,1.0,549.305954825462,167.18891170431212,5042153.474332649,531830.546201232,45.53112015005879,9.407633467146459,1990
1990-01-10,6402.788235294118,259.17176470588237,1.0,555.4823529411765,173.40980392156862,5044149.060784314,537089.0921568627,45.5488512644589,9.475241832645704,1990
1990-01-11,6403.635627530364,243.36133603238866,1.0,556.3441295546559,181.6497975708502,5045208.655870445,537443.2793522268,45.55840208354738,9.479990757566807,1990
1990-01-12,6389.408510638298,340.44787234042553,1.0,550.5978723404255,177.5744680851064,5044446.123404255,532730.585106383,45.55179881763911,9.419518390307246,1990
1990-01-13,6429.0207852194,747.7387990762126,1.0,554.2217090069284,165.4226327944573,5041266.15704388,531858.1154734411,45.522978120596036,9.407918259225113,1990
1990-01-14,6425.752272727273,590.2772727272727,1.0,554.2,170.02954545454546,5041670.3977272725,531460.2272727273,45.52663841198317,9.402878073250426,1990
1990-01-15,6440.147582697201,725.3282442748092,1.0,558.7150127226463,173.63613231552162,5042090.867684478,535486.9770992367,45.530194976050886,9.45445386730901,1990
1990-01-16,6397.094555873926,765.9240687679084,1.0,548.3524355300859,181.03151862464185,5043923.045845272,530276.4756446992,45.5471232683498,9.38812198765555,1990
1990-01-17,6340.51884057971,790.1698550724637,1.0,531.2724637681159,173.26956521739132,5042938.669565218,520423.30144927534,45.538995625395295,9.261801632082328,1990
1990-01-18,6381.158823529412,557.0379411764706,1.0,543.9470588235295,176.86764705882354,5043094.832352941,526119.7029411765,45.53990894082302,9.334815603512693,1990
1990-01-19,6380.080459770115,598.2083333333334,1.0,545.7816091954023,184.63793103448276,5043841.0,527571.8448275862,45.54654416740352,9.353503084214458,1990
1990-01-20,6408.268096514746,555.503217158177,1.0,552.8391420911528,175.47184986595175,5041743.485254692,532481.9731903485,45.52729070212431,9.41594134445576,1990
1990-01-21,6379.74358974359,525.6823361823361,1.0,545.5954415954416,184.0,5043747.851851852,527485.8347578348,45.54571699999638,9.352395963636,1990
1990-01-22,6380.48695652174,718.573043478261,1.0,546.0579710144928,184.76521739130436,5043776.443478261,527601.9304347826,45.545951088821184,9.353890109234497,1990
1990-01-23,6374.973684210527,851.3678362573099,1.0,542.5263157894736,178.7748538011696,5043366.415204679,525681.4912280702,45.542429662002775,9.329257029100878,1990
1990-01-24,6386.652173913043,764.8065217391305,1.0,546.7515527950311,180.3695652173913,5043573.167701864,527763.8664596273,45.54408267574268,9.355906989546344,1990
1990-01-25,6378.0948275862065,706.4278735632183,1.0,544.2729885057471,182.2844827586207,5043576.557471264,527723.4367816092,45.54418183838156,9.355417391202362,1990
1990-01-26,6396.901960784314,652.7483660130719,1.0,543.218954248366,164.37254901960785,5042048.339869281,529518.3627450981,45.530390631091834,9.378220426297093,1990
1990-01-27,6392.872727272727,443.75927272727273,1.0,540.1345454545454,155.54909090909092,5041111.178181818,529920.04,45.522043760104225,9.383221120892314,1990
1990-01-28,6356.913043478261,264.5072463768116,1.0,538.0072463768116,176.02173913043478,5042712.09057971,529769.1666666666,45.53656948335299,9.381482291530606,1990
1990-01-29,6332.851301115242,371.65055762081784,1.0,531.7174721189591,177.27509293680296,5043258.799256505,525145.7174721189,45.54190555558304,9.322377053893739,1990
1990-01-30,6314.2,478.29821428571427,1.0,525.5214285714286,174.36785714285713,5043271.478571429,520097.2464285714,45.54243325726264,9.257776152517966,1990
1990-01-31,6312.493333333333,403.766,1.0,524.75,172.91666666666666,5043235.19,521550.5466666667,45.54205823853337,9.276369937494827,1990
1990-02-01,6449.247191011236,467.17724719101125,1.0,558.373595505618,148.32022471910113,5039439.303370787,539289.452247191,45.506297135097654,9.502906488373238,1990
1990-02-02,6312.843853820598,419.29634551495013,1.0,524.5813953488372,172.62458471760797,5043168.222591362,521481.83720930235,45.541457884589214,9.275487093626083,1990
1990-02-03,6430.5330188679245,106.79716981132076,1.0,553.9551886792453,171.24764150943398,5042437.436320755,537687.337264151,45.5333939074485,9.482664292883571,1990
1990-02-04,6451.298342541437,166.82292817679559,1.0,560.2872928176796,180.1961325966851,5043745.441988951,540632.9281767956,45.54488878963838,9.520416310460607,1990
