Data,IdSensore,Valore,IdOperatore,Idstazione,Quota,Utm_Nord,UTM_Est,lat,lng,Anno
2006-01-01,9908.333333333334,89.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-02,9908.333333333334,100.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-03,9925.5,58.0,1.0,581.5,160.0,5045548.0,522758.0,45.56279209334194,9.291316821061367,2006
2006-01-04,9910.0,51.0,1.0,564.0,174.5,5046522.75,529641.25,45.57129148991505,9.379974174622932,2006
2006-01-05,9910.0,14.75,1.0,564.0,174.5,5046522.75,529641.25,45.57129148991505,9.379974174622932,2006
2006-01-06,9924.6,8.4,1.0,585.6,154.4,5034699.4,522360.6,45.465048506337965,9.286808259498828,2006
2006-01-07,9947.857142857143,14.0,1.0,611.7142857142857,159.28571428571428,5039128.571428572,534658.5714285715,45.504101489841254,9.444320587703034,2006
2006-01-08,9887.333333333334,13.333333333333334,1.0,549.0,196.66666666666666,5049213.666666667,525035.6666666666,45.595646275238416,9.321221478713325,2006
2006-01-09,9948.142857142857,13.285714285714286,1.0,601.4285714285714,160.14285714285714,5043364.857142857,541059.1428571428,45.542092406340416,9.525908911160082,2006
2006-01-10,9956.25,22.875,1.0,598.25,175.0,5045515.375,539879.625,45.56157485426066,9.510944164600895,2006
2006-01-11,9941.714285714286,27.0,1.0,599.5714285714286,131.71428571428572,5033027.571428572,534706.5714285715,45.449184905409616,9.444463721353598,2006
2006-01-12,9979.666666666666,49.44444444444444,1.0,619.8888888888889,134.33333333333334,5031265.555555556,550267.1111111111,45.43124721717554,9.64182697736117,2006
2006-01-13,9908.333333333334,66.66666666666667,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-14,9908.333333333334,102.33333333333333,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-15,9908.333333333334,75.66666666666667,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-16,9908.333333333334,99.33333333333333,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-17,9908.333333333334,131.66666666666666,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-18,9908.333333333334,118.66666666666667,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-19,9908.333333333334,160.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-20,9908.333333333334,131.33333333333334,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-21,9908.333333333334,118.33333333333333,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-22,9908.333333333334,126.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-23,9908.333333333334,46.666666666666664,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-24,9908.333333333334,46.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-25,9908.333333333334,82.66666666666667,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-26,9908.333333333334,75.33333333333333,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-27,9908.333333333334,51.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-28,9908.333333333334,44.333333333333336,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-29,9908.333333333334,58.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-30,9908.333333333334,63.666666666666664,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-01-31,9908.333333333334,71.66666666666667,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-02-01,9908.333333333334,108.0,1.0,555.0,147.33333333333334,5042214.0,520964.3333333333,45.53293663175369,9.268316260286733,2006
2006-02-02,9944.666666666666,85.0,1.0,611.6666666666666,131.33333333333334,5026167.333333333,512918.0,45.38855358623783,9.165592747041714,2006
2006-02-03,9910.0,61.25,1.0,564.0,174.5,5046522.75,529641.25,45.57129148991505,9.379974174622932,2006
2006-02-04,9910.0,37.25,1.0,564.0,174.5,5046522.75,529641.25,45.57129148991505,9.379974174622932,2006
2006-02-05,9910.0,24.0,1.0,564.0,174.5,5046522.75,529641.25,45.57129148991505,9.379974174622932,2006
2006-02-06,9924.6,6.4,1.0,585.6,154.4,5034699.4,522360.6,45.465048506337965,9.286808259498828,2006
2006-02-07,9947.857142857143,9.857142857142858,1.0,611.7142857142857,159.28571428571428,5039128.571428572,534658.5714285715,45.504101489841254,9.444320587703034,2006
2006-02-08,9911.75,14.5,1.0,561.75,167.5,5041175.25,528287.25,45.52323795330976,9.362231824835428,2006
2006-02-09,9948.142857142857,17.142857142857142,1.0,601.4285714285714,160.14285714285714,5043364.857142857,541059.1428571428,45.542092406340416,9.525908911160082,2006
