IdSensore,Tipologia,UnitaDiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,UTM_Nord,UTM_Est,lng,lat,location
19301,Direzione Vento,∞,1514,Carenno centro sportivo,633,LC,18/07/2014,,N,5072042,536210,9.465966638,45.80098941,"(45.80098941456421, 9.46596663838796)"
32336,Umidita'† Relativa,%,905,Cevo,1128,BS,20/07/2017,,N,5103920,606529,10.37777478,46.08055084,"(46.080550839800345, 10.377774775825152)"
2190,Radiazione Globale,W/m≤,114,Landriano Cascina Marianna,88,PV,29/09/2005,,N,5018600,520938,9.267153115,45.32059361,"(45.32059361110084, 9.26715311477454)"
5910,Temperatura,∞C,535,Lacchiarella v.Molise,97,MI,15/09/1998,,N,5019010,510542,9.134517264,45.32451741,"(45.32451741284727, 9.134517264199278)"
9027,Temperatura,∞C,1206,Cavaria con Premezzo v. Cantalupa,274,VA,01/01/2004,,N,5059567,485026,8.807691068,45.68949338,"(45.68949337565816, 8.807691068181894)"
22023,Temperatura,∞C,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581,45.94458167,"(45.94458167053537, 8.713738581276651)"
22022,Precipitazione,mm,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,5087930,477812,8.713738581,45.94458167,"(45.94458167053537, 8.713738581276651)"
6432,Radiazione Globale,W/m≤,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737822,45.62055568,"(45.62055567939559, 9.611737821812373)"
19107,Velocita'† Vento,m/s,596,Osio Sotto v.per Levate,182,BG,30/01/2014,,N,5052072,547691,9.611737822,45.62055568,"(45.62055567939559, 9.611737821812373)"
17592,Altezza Neve,cm,1889,Val Masino Merdarola,2280,SO,21/12/2007,,N,5119691,544851,9.581636352,46.22931619,"(46.22931618794695, 9.581636351731035)"
6159,Umidita'† Relativa,%,596,Osio Sotto v.per Levate,182,BG,04/04/2000,,N,5052072,547691,9.611737822,45.62055568,"(45.62055567939559, 9.611737821812373)"
