idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
10048,Biossido di Zolfo,µg/m³,688,Scaldasole v. XI Febbraio,88,PV,Scaldasole,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4996773,493060,(45.124393, 8.911755)
10049,Biossido di Zolfo,µg/m³,689,Galliavola v. Marconi,87,PV,Galliavola,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4993533,485861,(45.095123, 8.820309)
10054,Biossido di Zolfo,µg/m³,691,Ferrera Erbognone AGIP v. Indipendenza,89,PV,Ferrera Erbognone,S,2007-01-01T00:00:00.000,2017-01-01T00:00:00.000,4995270,489675,(45.110825, 8.868744)
10070,Biossido di Zolfo,µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2007-01-01T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
10072,PM10 (SM2005),µg/m³,693,Sannazzaro de' Burgondi v.Traversi,85,PV,Sannazzaro de' Burgondi,N,2007-01-01T00:00:00.000,,4994371,492461,(45.102768, 8.904175)
10073,Ossidi di Azoto,µg/m³,694,Salionze v. Campagna Rossa,109,VR,Salionze,S,2006-12-01T00:00:00.000,2013-11-20T00:00:00.000,5029205,635124,(45.403313, 10.726598)
10074,Biossido di Azoto,µg/m³,694,Salionze v. Campagna Rossa,109,VR,Salionze,S,2006-11-30T00:00:00.000,,5029205,635124,(45.403313, 10.726598)
10077,PM10 (SM2005),µg/m³,694,Salionze v. Campagna Rossa,109,VR,Salionze,S,2006-11-29T00:00:00.000,,5029205,635124,(45.403313, 10.726598)
10078,Ossidi di Azoto,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2006-12-20T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
10079,Biossido di Azoto,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2006-12-20T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
10081,Ozono,µg/m³,695,Ponti sul Mincio v.San Martino,113,MN,Ponti sul Mincio,N,2007-02-06T00:00:00.000,,5030184,631718,(45.412773, 10.683357)
