"NO2...Nitrogen.Dioxide","O3...Ozone","CO...Carbon.Monoxide","NO...Nitric.Oxide","PM10","PM2.5"
"115","130","3.1","560","90","75"
"YlOrBr","PuBu","Greys","YlOrRd","OrRd","Oranges"
