"CO - Carbon Monoxide","NO - Nitric Oxide","NO2 - Nitrogen Dioxide","O3 - Ozone","PM10","PM2.5"
"4","430","112","136","192","160"
"Greys","YlOrBr","YlOrRd","PuBu","OrRd","Oranges"
