,Data,pm10,pioggia,temperatura,vento,NO2,NO,CO,O3,pm2p5
0,2011-01-01,110.10144927536231,0.4027777777777778,0.5878841607565012,2.0901944444444442,58.89531593838416,148.0607917059378,58.89531593838416,9.823585505403686,96.04545454545456
1,2011-01-02,76.59154929577464,0.23800000000000002,0.3733997584541063,3.001944444444444,64.9217746820109,199.3515124016939,64.9217746820109,10.21293768545994,55.76
2,2011-01-03,49.94366197183098,0.21250000000000002,0.6650490196078431,2.112,39.59704808277541,65.50934266585514,39.59704808277541,32.68078500292911,34.12
3,2011-01-04,48.94202898550725,0.21666666666666667,0.32189625850340137,1.1108055555555556,50.62398773006135,87.48223926380368,50.62398773006135,44.8957254665864,30.96153846153846
4,2011-01-05,63.19718309859155,0.25,0.23263888888888887,0.9867222222222223,24.61400295420975,33.3129460336184,24.61400295420975,65.68872901678657,17.17391304347826
5,2011-01-06,63.958333333333336,1.2171875,0.3141044061302682,1.8647222222222224,30.657662947739283,45.01628521126761,30.657662947739283,43.87209439528024,19.08695652173913
6,2011-01-07,54.46478873239437,8.763030303030304,0.6064760981912145,1.9675555555555555,21.797878315132603,29.759606986899563,21.797878315132603,85.16970588235294,11.304347826086955
7,2011-01-08,56.88405797101449,8.80375,1.4395313681027968,1.6102719907407408,23.40074096943501,31.52539388322521,23.40074096943501,86.0409552238806,12.909090909090908
8,2011-01-09,63.55072463768116,8.745774647887325,1.906198385885886,1.6904671717171718,29.48683718028696,39.44146645865835,29.48683718028696,72.14248484848486,16.291666666666668
9,2011-01-10,33.7536231884058,14.092168674698796,1.9831719483568073,1.142753623188406,42.40796034845299,61.99720888355343,42.40796034845299,57.41085316308764,29.32
10,2011-01-11,35.885714285714286,3.7024999999999997,2.3250799360511594,1.4142814009661835,37.43686540731996,84.0818611521418,37.43686540731996,18.77202416918429,49.333333333333336
11,2011-01-12,47.16901408450704,0.9917808219178083,1.675625978090767,2.1079594017094014,62.227735446510216,251.08552229688453,62.227735446510216,7.202256097560976,62.0
12,2011-01-13,51.91176470588236,7.221875,2.3121378663940013,3.0430021367521367,64.73442672284081,246.83458533653845,64.73442672284081,7.404447045055589,40.083333333333336
13,2011-01-14,48.92857142857143,1.6702702702702703,2.447102347883598,1.85025,65.60023738872403,227.33868483412323,65.60023738872403,6.564644107351225,35.34782608695652
14,2011-01-15,42.40845070422535,2.4728813559322034,2.5124456157965196,3.362972222222222,55.33630237327864,163.46384412540286,55.33630237327864,7.336146682188591,33.30434782608695
15,2011-01-16,42.140845070422536,1.1610169491525424,2.265852347883598,1.575801282051282,53.96692216981132,136.65153301886792,53.96692216981132,8.087972109238814,34.608695652173914
